raw_ingredient,normalized_ingredient,occurrence_count,suggested_canonical_molecule,confidence_score,review_status
Gastro resistant pellets of Esomeprazole magnesium trihydrate eq. to Esomeprazole (Pellets),Gastro Resistant Pellets of Esomeprazole Magnesium Trihydrate Eq To Esomeprazole (pellets),10,Gastro resistant pellets of Esomeprazole magnesium trihydrate eq. to Esomeprazole (Pellets),0.99,auto_candidate
Ginseing extract eq. to Radix Panax C.A Meyer,Ginseing Extract Eq To Radix Panax C.a Meyer,10,Ginseing extract eq. to Radix Panax C.A Meyer,0.99,auto_candidate
Glycopyrronium Bromide 63mcg Eq. to Glycopyrronium,Glycopyrronium Bromide 63mcg Eq To Glycopyrronium,10,Glycopyrronium Bromide 63mcg Eq. to Glycopyrronium,0.99,auto_candidate
Gumbro (Winterfielf 2512 Bulk viral fluids),Gumbro (winterfielf 2512 Bulk Viral Fluids),10,Gumbro (Winterfielf 2512 Bulk viral fluids),0.99,auto_candidate
IBDV (Lukert CEO Strain),Ibdv (lukert Ceo Strain),10,IBDV (Lukert CEO Strain),0.99,auto_candidate
Inactivated Pasteurella multiocida (Robert's strain),Inactivated Pasteurella Multiocida (robert's Strain),10,Inactivated Pasteurella multiocida (Robert's strain),0.99,auto_candidate
Iohexol 755mg eq. to organic iodine,Iohexol 755mg Eq To Organic Iodine,10,Iohexol 755mg eq. to organic iodine,0.99,auto_candidate
Ipratropium Bromide... 0.5218mg eq to Ipratropium.,Ipratropium Bromide... 0.5218mg Eq To Ipratropium.,10,Ipratropium Bromide... 0.5218mg eq to Ipratropium.,0.99,auto_candidate
Iron + Folic Acid,Iron + Folic Acid,10,Iron + Folic Acid,0.99,auto_candidate
Lansoperazole pellets eq. to Lansoperazole,Lansoperazole Pellets Eq To Lansoperazole,10,Lansoperazole pellets eq. to Lansoperazole,0.99,auto_candidate
Levofloxacin(as hemihydrate),Levofloxacin(as Hemihydrate),10,levofloxacin (as Hemihydrate),0.99,auto_candidate
Levofloxacin(As hemihydrate),Levofloxacin(as Hemihydrate),10,levofloxacin (as Hemihydrate),0.99,auto_candidate
"Losartan Potassium., Hydrochlorothiazide.","Losartan Potassium., Hydrochlorothiazide.",10,"Losartan Potassium., Hydrochlorothiazide.",0.99,auto_candidate
Meconazole (as nitrate),Meconazole (as Nitrate),10,Meconazole (as nitrate),0.99,auto_candidate
Melitracen (as HCl),Melitracen (as Hcl),10,Melitracen (HCl),0.99,auto_candidate
Metoprolol (as tartrate),Metoprolol (as Tartrate),10,Metoprolol (as tartrate),0.99,auto_candidate
Metronidazole(as Benzoate),Metronidazole(as Benzoate),10,Metronidazole as benzoate.,0.99,auto_candidate
Minocylcin as HCl,Minocylcin As Hcl,10,Minocylcin as HCl,0.99,auto_candidate
Modified release pellets Tamsulosin hcl eq to Tamsulosin hcl,Modified Release Pellets Tamsulosin Hcl Eq To Tamsulosin Hcl,10,Modified release pellets Tamsulosin hcl eq to Tamsulosin hcl,0.99,auto_candidate
Molybdenum (molybdate),Molybdenum (molybdate),10,Molybdenum (molybdate),0.99,auto_candidate
Nalbuphene as HCL,Nalbuphene As Hcl,10,Nalbuphene as HCL,0.99,auto_candidate
Neomycin(in the form of sulphate),Neomycin(in The Form of Sulphate),10,Neomycin (activity),0.99,auto_candidate
Newcastle Disease Live Virus with a minimum infectious titer of 10 (6.5) D1E50 Gumboro Disease Live,Newcastle Disease Live Virus With A Minimum Infectious Titer of 10 (6.5) D1e50 Gumboro Disease Live,10,Newcastle Disease Live Virus with a minimum infectious titer of 10 (6.5) D1E50 Gumboro Disease Live,0.99,auto_candidate
Pancreatic digest of casein (USP),Pancreatic Digest of Casein (usp),10,Pancreatic digest of casein (USP),0.99,auto_candidate
Paracetamol + Caffeine + Codeine phosphate,Paracetamol + Caffeine + Codeine Phosphate,10,Paracetamol + Caffeine + Codeine phosphate,0.99,auto_candidate
Pentavalent Vaccine (DTwP – HB – Hib),Pentavalent Vaccine (dtwp – Hb – Hib),10,Pentavalent Vaccine (DTwP – HB – Hib),0.99,auto_candidate
Phenosulfonphthalein (Ph.Eur/USP),Phenosulfonphthalein (ph.eur / Usp),10,Phenosulfonphthalein (Ph.Eur/USP),0.99,auto_candidate
Piperazine (as Sulphate),Piperazine (as Sulphate),10,Piperazine (as Sulphate),0.99,auto_candidate
Piroxicam(as Betacyclodextrin),Piroxicam(as Betacyclodextrin),10,piroxicam,0.99,auto_candidate
Promethazine as HCL,Promethazine As Hcl,10,Promethazine as HCL,0.99,auto_candidate
Raloxifene as HCl,Raloxifene As Hcl,10,Raloxifene as HCl,0.99,auto_candidate
Rebeprazole as Sodium,Rebeprazole As Sodium,10,Rebeprazole as Sodium,0.99,auto_candidate
Rosuvastatin(as calcium),Rosuvastatin(as Calcium),10,Rosuvastatin(as calcium),0.99,auto_candidate
Salmeterol (as xinafoate),Salmeterol (as Xinafoate),10,Salmeterol (as xinafoate),0.99,auto_candidate
Selegiline (as HCl),Selegiline (as Hcl),10,Selegiline (as HCl),0.99,auto_candidate
Standard Cobre Venom (Naja-naja),Standard Cobre Venom (naja-naja),10,Standard Cobre Venom (Naja-naja),0.99,auto_candidate
Sterile Cefepime (as HCl) with L-Arginine,Sterile Cefepime (as Hcl) With L-arginine,10,Sterile Cefepime (as HCl) with L-Arginine,0.99,auto_candidate
Sulfadimerazine (as Sodium),Sulfadimerazine (as Sodium),10,Sulfadimerazine (as Sodium),0.99,auto_candidate
Sustained release pellets of Venlafaxine hydrochloride eq. to Venlafaxine,Sustained Release Pellets of Venlafaxine Hydrochloride Eq To Venlafaxine,10,Sustained release pellets of Venlafaxine hydrochloride eq. to Venlafaxine,0.99,auto_candidate
Tenofovir as disoproxil fumarate,Tenofovir As Disoproxil Fumarate,10,Tenofovir as disoproxil fumarate,0.99,auto_candidate
Tiotropium bromide monohydrate eq. to tiotropium,Tiotropium Bromide Monohydrate Eq To Tiotropium,10,Tiotropium bromide monohydrate eq. to tiotropium,0.99,auto_candidate
Tizinidine Sustained Release Pellets containing Tizanidine HCL eq to Tizanidine Base,Tizinidine Sustained Release Pellets Containing Tizanidine Hcl Eq To Tizanidine Base,10,Tizinidine Sustained Release Pellets containing Tizanidine HCL eq to Tizanidine Base,0.99,auto_candidate
Tobramycin and Dexamethasone,Tobramycin and Dexamethasone,10,Tobramycin and Dexamethasone,0.99,auto_candidate
Umeclidinium Eq to 74.2mcg of Umecidinium Bromide,Umeclidinium Eq To 74.2mcg of Umecidinium Bromide,10,Umeclidinium Eq to 74.2mcg of Umecidinium Bromide,0.99,auto_candidate
Vortioxetine (As Hydrobromide),Vortioxetine (as Hydrobromide),10,Vortioxetine (As Hydrobromide),0.99,auto_candidate
?-keto analogue to isoleucine (calcium salt),-keto Analogue To Isoleucine (calcium Salt),10,?-keto analogue to isoleucine (calcium salt),0.96,auto_candidate
?-keto analogue to leucine (calcium salt),-keto Analogue To Leucine (calcium Salt),10,?-keto analogue to leucine (calcium salt),0.96,auto_candidate
?-keto analogue to methionine (calcium salt),-keto Analogue To Methionine (calcium Salt),10,?-keto analogue to methionine (calcium salt),0.96,auto_candidate
?-keto analogue to phenylalanine (calcium salt),-keto Analogue To Phenylalanine (calcium Salt),10,?-keto analogue to phenylalanine (calcium salt),0.96,auto_candidate
Artemether 40mg+ Lumefantrine 240mg,Artemether 40mg + Lumefantrine 240mg,10,Artemether 40mg+ Lumefantrine 240mg,0.96,auto_candidate
B/Phuket/3073/2013,B / Phuket / 3073 / 2013,10,B/Phuket/3073/2013,0.96,auto_candidate
Cephradine D/S,Cephradine D / S,10,Cephradine D/S,0.96,auto_candidate
Cephradine inj IV/IM,Cephradine Inj Iv / Im,10,Cephradine inj IV/IM,0.96,auto_candidate
Ibuprofen/Pseudoephedrine HCl,Ibuprofen / Pseudoephedrine Hcl,10,Ibuprofen/Pseudoephedrine HCl,0.96,auto_candidate
NIB-88 Reassortant Derived from A/Switzerland/9715293/2013,Nib-88 Reassortant Derived From A / Switzerland / 9715293 / 2013,10,NIB-88 Reassortant Derived from A/Switzerland/9715293/2013,0.96,auto_candidate
NYMC X-179A Reassortant Derived from A/California/7/2009,Nymc X-179a Reassortant Derived From A / California / 7 / 2009,10,NYMC X-179A Reassortant Derived from A/California/7/2009,0.96,auto_candidate
Permethrin 5% w/w/,Permethrin 5% W / W /,10,Permethrin 5% w/w/,0.96,auto_candidate
Sulfadoxine Pyrimethamine 500mg/25mg,Sulfadoxine Pyrimethamine 500mg / 25mg,10,Sulfadoxine Pyrimethamine 500mg/25mg,0.96,auto_candidate
Trichlorfon/Metrifonate,Trichlorfon / Metrifonate,10,Trichlorfon/Metrifonate,0.96,auto_candidate
VASTOR PLUS 10/10MG TABLET,Vastor Plus 10 / 10mg Tablet,10,VASTOR PLUS 10/10MG TABLET,0.96,auto_candidate
Phenoxymethylpenicillin 325mg/g eq to Potassium Phenoxymethylpenicillin,Phenoxymethylpenicillin 325mg / G Eq To Potassium Phenoxymethylpenicillin,10,Procaine Benzylpenicillin,0.92,review_candidate
"? toxoid of tyep B, C and D Clostridium perfringens","Toxoid of Tyep B, C and D Clostridium Perfringens",10,Itopride HCl + Clostridium septicum,0.91,review_candidate
"? toxoid of type B, C and D Clostridium perfringens","Toxoid of Type B, C and D Clostridium Perfringens",10,Polio Virus Type 1 + Clostridium septicum,0.91,review_candidate
Hydroquinone + Fluocinolone Acetonide+Tretinoin,Hydroquinone + Fluocinolone Acetonide + Tretinoin,10,Hydroquinone + Fluocinolone acetonide eq. to Fluocinolone + Tretinoin,0.91,review_candidate
calcium lactate gluconate+calcium carbonate+Ascorbic acid,Calcium Lactate Gluconate + Calcium Carbonate + Ascorbic Acid,10,calcium lactate gluconate+calcium carbonate+Ascorbic acid,0.83,review_candidate
Flumequine+Colistin Sulphate,Flumequine + Colistin Sulphate,10,Flumequine Sodium,0.83,review_candidate
Lyophilized Powder/cake Warfarin Sodium,Lyophilized Powder / Cake Warfarin Sodium,10,Lyophilized Powder/cake Warfarin Sodium,0.83,review_candidate
Paracetamol+Orphenadrine citrate,Paracetamol + Orphenadrine Citrate,10,Paracetamol+Orphenadrine citrate,0.83,review_candidate
Sodium chloride+Potassium chloride+Sodium citrate+Glucose anhydrous,Sodium Chloride + Potassium Chloride + Sodium Citrate + Glucose Anhydrous,10,Glucose anhydrous,0.83,review_candidate
Aminosideine (Sulphate),Aminosideine (sulphate),9,Aminosideine (Sulphate),0.99,auto_candidate
Anti-thymocyte Globulin (Equine),Anti-thymocyte Globulin (equine),9,Anti-thymocyte Globulin (Equine),0.99,auto_candidate
Artemether/ Lumefantrine,Artemether / Lumefantrine,9,Artemether / Lumefantrine,0.99,auto_candidate
Atorvastatin + Ezetimibe,Atorvastatin + Ezetimibe,9,Atorvastatin + Ezetimibe,0.99,auto_candidate
Atorvatatin as Calcium,Atorvatatin As Calcium,9,Atorvatatin as Calcium,0.99,auto_candidate
Attenuated canine adenovirus (CAV2),Attenuated Canine Adenovirus (cav2),9,Attenuated canine adenovirus (CAV2),0.99,auto_candidate
Avian Infectious Bursal Disease Vaccine(Live),Avian Infectious Bursal Disease Vaccine(live),9,Avian Infectious Bursal Disease Vaccine(Live),0.99,auto_candidate
Azithromycin( as Dihydrate),Azithromycin( As Dihydrate),9,Azithromycin as dihydrate eq. Azithromycin,0.99,auto_candidate
Balloon Expandable Stainless Steel Stent. Poly Ethylene terephthalate (PET).,Balloon Expandable Stainless Steel Stent. Poly Ethylene Terephthalate (pet).,9,Balloon Expandable Stainless Steel Stent. Poly Ethylene terephthalate (PET).,0.99,auto_candidate
Brimonidine Tartrate…2mg eq. to Brimonidine…1.3mg,Brimonidine Tartrate…2mg Eq To Brimonidine…1.3mg,9,Brimonidine Tartrate…2mg eq. to Brimonidine…1.3mg,0.99,auto_candidate
Cefepim (as HCL),Cefepim (as Hcl),9,Cefepim (as HCL),0.99,auto_candidate
Cefepime HCI with L-arginine,Cefepime Hci With L-arginine,9,Cefepime HCI with L-arginine,0.99,auto_candidate
Ceftriaxone(as Sodium),Ceftriaxone(as Sodium),9,Ceftriaxone(as s0dium),0.99,auto_candidate
Ciclopirox Olamine.,Ciclopirox Olamine.,9,Ciclopirox Olamine.,0.99,auto_candidate
Cinacalcet (as HCl),Cinacalcet (as Hcl),9,Cinacalcet (as HCl),0.99,auto_candidate
Ciprofloxacin( as HCl),Ciprofloxacin( As Hcl),9,Ciprofloxacin(as HCL),0.99,auto_candidate
ciprofloxacin(asHCl),Ciprofloxacin(ashcl),9,Ciprofloxacin(as HCL),0.99,auto_candidate
"CLOSANTAL,","Closantal,",9,Closantal,0.99,auto_candidate
Clotrimazole..,Clotrimazole..,9,CLOTRIMAZOLE,0.99,auto_candidate
Diclofenac Sodium Diethyl Ammonium eq.to Diclofenac Sodium 1% w/w,Diclofenac Sodium Diethyl Ammonium Eq To Diclofenac Sodium 1% W / W,9,Diclofenac Sodium Diethyl Ammonium eq.to Diclofenac Sodium 1% w/w,0.99,auto_candidate
Domperidine as Maleate,Domperidine As Maleate,9,Domperidine as Maleate,0.99,auto_candidate
Each delivered dose contains (Beclomethasone dipropionate),Each Delivered Dose Contains (beclomethasone Dipropionate),9,Each delivered dose contains (Beclomethasone dipropionate),0.99,auto_candidate
Each kg contains:,Each Kg Contains:,9,Each kg contains:,0.99,auto_candidate
Each ml suspension contains: Humalin Insulin (rDNA)….100IU,Each Ml Suspension Contains: Humalin Insulin (rdna)….100iu,9,Each ml suspension contains: Humalin Insulin (rDNA)….100IU,0.99,auto_candidate
EDS (127),Eds (127),9,EDS (127),0.99,auto_candidate
EDS Virus (127 Strain),Eds Virus (127 Strain),9,EDS Virus (127 Strain),0.99,auto_candidate
Erythromcin ethylsuccinate eq to erythromycin,Erythromcin Ethylsuccinate Eq To Erythromycin,9,Erythromcin ethylsuccinate eq to erythromycin,0.99,auto_candidate
Human Insulin Regular 30% + NPH 70%....100IU,Human Insulin Regular 30% + Nph 70%....100iu,9,Human Insulin Regular 30% + NPH 70%....100IU,0.99,auto_candidate
IBV (Mass):,Ibv (mass):,9,IBV (Mass):,0.99,auto_candidate
"Inactivated EDS,76 Virus...","Inactivated Eds,76 Virus...",9,"Inactivated EDS,76 Virus........",0.99,auto_candidate
"Inactivated EDS,76 Virus........","Inactivated Eds,76 Virus........",9,"Inactivated EDS,76 Virus........",0.99,auto_candidate
Inactivated IB Virus (H-120).........,Inactivated Ib Virus (h-120).........,9,Inactivated IB Virus (H-120).........,0.99,auto_candidate
Inactivated ND Virus (BI),Inactivated Nd Virus (bi),9,Inactivated ND Virus (BI),0.99,auto_candidate
Inactivated ND Virus (BI).........,Inactivated Nd Virus (bi).........,9,Inactivated ND Virus (BI).........,0.99,auto_candidate
Irbesartan + Hydrochlorothiazide,Irbesartan + Hydrochlorothiazide,9,Irbesartan + Hydrochlorothiazide,0.99,auto_candidate
iron (III) Hydroxide Polymaltose Complex equivalent to elemental iron + Folic Acid,Iron (iii) Hydroxide Polymaltose Complex Eq To Elemental Iron + Folic Acid,9,Iron(III)Hydroxide polymaltose complex eq.to elemental iron+Folic acid,0.99,auto_candidate
Levamizole (as Hcl),Levamizole (as Hcl),9,Levamizole (as Hcl),0.99,auto_candidate
Levocitirizine (as 2HCl),Levocitirizine (as 2hcl),9,Levocitirizine (as 2HCl),0.99,auto_candidate
levofloxacin(as hemihydrate),Levofloxacin(as Hemihydrate),9,levofloxacin (as Hemihydrate),0.99,auto_candidate
Lodoxamide as Tromethamine,Lodoxamide As Tromethamine,9,Lodoxamide as Tromethamine,0.99,auto_candidate
Lyophilized omeprazole sodium eq. to omeprazole,Lyophilized Omeprazole Sodium Eq To Omeprazole,9,Lyophilized omeprazole sodium eq. to omeprazole,0.99,auto_candidate
Marek HVT Serotype with a minimum Ifectious titer of 5000 PFU,Marek Hvt Serotype With A Minimum Ifectious Titer of 5000 Pfu,9,Marek HVT Serotype with a minimum Ifectious titer of 5000 PFU,0.99,auto_candidate
OlanzapOlanzapine (As Citrate)ine,Olanzapolanzapine (as Citrate)ine,9,OlanzapOlanzapine (As Citrate)ine,0.99,auto_candidate
Palonosetron as HCl,Palonosetron As Hcl,9,Palonosetron as HCl.,0.99,auto_candidate
Palonosetron as HCl.,Palonosetron As Hcl.,9,Palonosetron as HCl.,0.99,auto_candidate
Patent Blue (E-131),Patent Blue (e-131),9,Patent Blue (E-131),0.99,auto_candidate
Phytonadione (Vit-K),Phytonadione (vit-k),9,Phytonadione (Vit-K),0.99,auto_candidate
Quinine Bisulphate (as heptahydrate),Quinine Bisulphate (as Heptahydrate),9,Quinine Bisulphate (as heptahydrate),0.99,auto_candidate
SB Marek Serotype with a minimum infectious titer of 3000 PFU,Sb Marek Serotype With A Minimum Infectious Titer of 3000 Pfu,9,SB Marek Serotype with a minimum infectious titer of 3000 PFU,0.99,auto_candidate
Selinium (As Sodium Selenite),Selinium (as Sodium Selenite),9,Selinium (As Sodium Selenite),0.99,auto_candidate
Sucrose / Gelatin stabilizer,Sucrose / Gelatin Stabilizer,9,Sucrose / Gelatin stabilizer,0.99,auto_candidate
Vinorelbine As Tartrate Eq. To Vinorelbine,Vinorelbine As Tartrate Eq To Vinorelbine,9,Vinorelbine As Tartrate Eq. To Vinorelbine,0.99,auto_candidate
Isotretinoin/ Erythromycin,Isotretinoin / Erythromycin,9,Isotretinoin/ Erythromycin,0.96,auto_candidate
"Newcastle disease virus, VG/GA strain","Newcastle Disease Virus, Vg / Ga Strain",9,"Newcastle disease virus, VG/GA strain",0.96,auto_candidate
Mebeverine hydrochloride 80% w/w pellets eq to mebeverine,Mebeverine Hydrochloride 80% W / W Pellets Eq To Mebeverine,9,Mebeverine as HCl (Prolonged release pellets),0.92,review_candidate
Citric acid+Sodium bicarbonate+Sodium citrate+Tartaric acid,Citric Acid + Sodium Bicarbonate + Sodium Citrate + Tartaric Acid,9,Citric Acid Monohydrate,0.83,review_candidate
(DHP VACCINE) ATTENUATED CANINE DISTEMPER VIRUS CULTURE FLUID (TCO-D STRAIN),(dhp Vaccine) Attenuated Canine Distemper Virus Culture Fluid (tco-d Strain),8,(DHP VACCINE) ATTENUATED CANINE DISTEMPER VIRUS CULTURE FLUID (TCO-D STRAIN),0.99,auto_candidate
(DHP VACCINE) Attenuated Canine Infectious Hepatitis virus culture fluid (TCO- H strain),(dhp Vaccine) Attenuated Canine Infectious Hepatitis Virus Culture Fluid (tco- H Strain),8,(DHP VACCINE) Attenuated Canine Infectious Hepatitis virus culture fluid (TCO- H strain),0.99,auto_candidate
(DHP VACCINE) Attenuated Canine Parainfluenza virus culture fluid (CPIV-37 strain),(dhp Vaccine) Attenuated Canine Parainfluenza Virus Culture Fluid (cpiv-37 Strain),8,(DHP VACCINE) Attenuated Canine Parainfluenza virus culture fluid (CPIV-37 strain),0.99,auto_candidate
Alcohol 95% (V/V),Alcohol 95% (v / V),8,Alcohol 95%,0.99,auto_candidate
Atracurium as Besylate,Atracurium As Besylate,8,Atracurium as Besylate,0.99,auto_candidate
Bleomycin Sulphate eq. to Bleomycin,Bleomycin Sulphate Eq To Bleomycin,8,Bleomycin Sulphate eq. to Bleomycin,0.99,auto_candidate
Calciferol (Vitamin D3),Calciferol (vitamin D3),8,Calciferol (Vitamin D3),0.99,auto_candidate
Cefepime (as HCL ) with Sterile Arginine .,Cefepime (as Hcl ) With Sterile Arginine .,8,Cefepime (as HCL ) with Sterile Arginine .,0.99,auto_candidate
Cefixime(as Hydrate,Cefixime(as Hydrate,8,Cefixime(as Hydrate.,0.99,auto_candidate
Cefixime(as Hydrate.,Cefixime(as Hydrate.,8,Cefixime(as Hydrate.,0.99,auto_candidate
Cefixme trihydrate eq.to Cefixime,Cefixme Trihydrate Eq To Cefixime,8,Cefixme trihydrate eq.to Cefixime,0.99,auto_candidate
Cefoperazone + Sulbactum,Cefoperazone + Sulbactum,8,Cefoperazone (as Sodium) + Sulbactum (as Sodium),0.99,auto_candidate
Cefoperazone(as Sodium),Cefoperazone(as Sodium),8,Cefoperazone as sodium + Sulbactam as sodium,0.99,auto_candidate
Ciprofloxacine as HCL,Ciprofloxacine As Hcl,8,Ciprofloxacine as HCL,0.99,auto_candidate
Clarithromycin.,Clarithromycin.,8,Clarithromycin (as lactobionate),0.99,auto_candidate
Clavulanate Potassium eq. to Clavulanic Acid,Clavulanate Potassium Eq To Clavulanic Acid,8,Clavulanate Potassium eq. to Clavulanic Acid,0.99,auto_candidate
Clonastel (As Sodium),Clonastel (as Sodium),8,Clonastel (As Sodium),0.99,auto_candidate
Cobalt(Sulphate),Cobalt(sulphate),8,Cobalt as sulphate,0.99,auto_candidate
Dexamethasone / Neomycin,Dexamethasone / Neomycin,8,Dexamethasone / Neomycin,0.99,auto_candidate
Dopamine as HCl,Dopamine As Hcl,8,Dopamine as HCl,0.99,auto_candidate
Each 5ml contains; Trimethoprim / Sulphamethoxazole,Each 5ml Contains; Trimethoprim / Sulphamethoxazole,8,Each 5ml contains; Trimethoprim / Sulphamethoxazole,0.99,auto_candidate
Each film coated tablet contains:-Iron(III) Hydroxide Polymaltose complex eq.to Elemental Iron,Each Film Coated Tablet Contains:-iron(iii) Hydroxide Polymaltose Complex Eq To Elemental Iron,8,Each film coated tablet contains:-Iron(III) Hydroxide Polymaltose complex eq.to Elemental Iron,0.99,auto_candidate
"Each tablet contains: Pioglitazone (as HCI)........15mg , Glimepiride..........1mg","Each Tablet Contains: Pioglitazone (as Hci)........15mg , Glimepiride..........1mg",8,"Each tablet contains: Pioglitazone (as HCI)........15mg , Glimepiride..........1mg",0.99,auto_candidate
"Each tablet contains: Pioglitazone (asHCI) ............30mg , Glimepiride..........2mg","Each Tablet Contains: Pioglitazone (ashci) ............30mg , Glimepiride..........2mg",8,"Each tablet contains: Pioglitazone (asHCI) ............30mg , Glimepiride..........2mg",0.99,auto_candidate
Enteric Coated pellets of Esomeprazole as Magnessium Trihydrate,Enteric Coated Pellets of Esomeprazole As Magnessium Trihydrate,8,Enteric Coated pellets of Esomeprazole as Magnessium Trihydrate,0.99,auto_candidate
Enteric coated pellets of Omprazole eq. to Omeprazole,Enteric Coated Pellets of Omprazole Eq To Omeprazole,8,Enteric coated pellets of Omprazole eq. to Omeprazole,0.99,auto_candidate
Human Immunoglobulin (pH4) for Intravenous Injection 2.5g,Human Immunoglobulin (ph4) For Intravenous Injection 2.5g,8,Human Immunoglobulin (pH4) for Intravenous Injection 2.5g,0.99,auto_candidate
Ibandronic monosodium monohydrate eq. to Ibandronic Acid,Ibandronic Monosodium Monohydrate Eq To Ibandronic Acid,8,Ibandronic monosodium monohydrate eq. to Ibandronic Acid,0.99,auto_candidate
Inactivated Haemophilus paragallinarum germsType A (HA-l) strain 221,Inactivated Haemophilus Paragallinarum Germstype A (ha-l) Strain 221,8,Inactivated Haemophilus paragallinarum germsType A (HA-l) strain 221,0.99,auto_candidate
Inactivated Haemophilus paragallinarum germsType C (HA-4) strain H-I8,Inactivated Haemophilus Paragallinarum Germstype C (ha-4) Strain H-i8,8,Inactivated Haemophilus paragallinarum germsType C (HA-4) strain H-I8,0.99,auto_candidate
lavulanic Acid as potassium,Lavulanic Acid As Potassium,8,lavulanic Acid as potassium,0.99,auto_candidate
LopramideHCl eq. to Lopramide,Lopramidehcl Eq To Lopramide,8,LopramideHCl eq. to Lopramide,0.99,auto_candidate
Metoprolol Succinate eq. to Metoprolol Tartrate,Metoprolol Succinate Eq To Metoprolol Tartrate,8,Metoprolol succinate eq. to metoprolol tartrate,0.99,auto_candidate
NZ Amine AS,Nz Amine As,8,NZ Amine AS,0.99,auto_candidate
Olmesartan Medoxomil.,Olmesartan Medoxomil.,8,Olmesartan Medoxomil.,0.99,auto_candidate
Omeprazole(as 8.5% enteric coated Pellets),Omeprazole(as 8.5% Enteric Coated Pellets),8,Omeprazole as enteric coated pellets eq. to Omeprazole,0.99,auto_candidate
"On reconstitution in 125ml of water, each sachet provides:","On Reconstitution In 125ml of Water, Each Sachet Provides:",8,"On reconstitution in 125ml of water, each sachet provides:",0.99,auto_candidate
Ondasetron as HCL,Ondasetron As Hcl,8,Ondasetron as HCL,0.99,auto_candidate
Paracetamol / Caffeine.,Paracetamol / Caffeine.,8,Paracetamol / Caffeine.,0.99,auto_candidate
"Paramyxovirus pseudopestis avium(La Sota, SL 93)","Paramyxovirus Pseudopestis Avium(la Sota, Sl 93)",8,"Paramyxovirus pseudopestis avium(La Sota, SL 93)",0.99,auto_candidate
PERMETHRIN.,Permethrin.,8,Permethrin (B.P),0.99,auto_candidate
PL VACCINE (DHP MELTING SOLUTION) CANINE LEPTOSPIRA CANICOLA CULTURE FLUID,Pl Vaccine (dhp Melting Solution) Canine Leptospira Canicola Culture Fluid,8,PL VACCINE (DHP MELTING SOLUTION) CANINE LEPTOSPIRA CANICOLA CULTURE FLUID,0.99,auto_candidate
PL VACCINE (DHP MELTING SOLUTION) CANINE LEPTOSPIRA INTEROHEMORRAGE CULTURE FLUID,Pl Vaccine (dhp Melting Solution) Canine Leptospira Interohemorrage Culture Fluid,8,PL VACCINE (DHP MELTING SOLUTION) CANINE LEPTOSPIRA INTEROHEMORRAGE CULTURE FLUID,0.99,auto_candidate
PL VACCINE (DHP MELTING SOLUTION) CANINE PARVOVIRUS CULTURE (CPV-6 STRAIN),Pl Vaccine (dhp Melting Solution) Canine Parvovirus Culture (cpv-6 Strain),8,PL VACCINE (DHP MELTING SOLUTION) CANINE PARVOVIRUS CULTURE (CPV-6 STRAIN),0.99,auto_candidate
Raloxifene hydrochloride eq. to Raloxifen,Raloxifene Hydrochloride Eq To Raloxifen,8,Raloxifene hydrochloride eq. to Raloxifen,0.99,auto_candidate
Riboflavin-5-Phosphate Sodium (Vitamin B2),Riboflavin-5-phosphate Sodium (vitamin B2),8,Riboflavin-5-Phosphate Sodium (Vitamin B2),0.99,auto_candidate
Riboflavine (BP),Riboflavine (bp),8,Riboflavine (BP),0.99,auto_candidate
Selenium(Sodium Selenite),Selenium(sodium Selenite),8,Selenium as Sodium selenate,0.99,auto_candidate
Speeda(Vero Cell Anti-Rabies Vaccine),Speeda(vero Cell Anti-rabies Vaccine),8,Speeda(Vero Cell Anti-Rabies Vaccine),0.99,auto_candidate
Suxamethonium as Suxamethonium Chloride,Suxamethonium As Suxamethonium Chloride,8,Suxamethonium as Suxamethonium Chloride,0.99,auto_candidate
Thiamin HCl (Vitamin B1),Thiamin Hcl (vitamin B1),8,Thiamin HCl (Vitamin B1),0.99,auto_candidate
Tianeptine (as Sodium),Tianeptine (as Sodium),8,Tianeptine (as Sodium),0.99,auto_candidate
Trisodium Citrat Dihydrate BP.,Trisodium Citrat Dihydrate Bp.,8,Trisodium Citrat Dihydrate BP.,0.99,auto_candidate
Aspirin....75mg/Clopidogrel as Bisulafte........75mg,Aspirin....75mg / Clopidogrel As Bisulafte........75mg,8,Aspirin....75mg/Clopidogrel as Bisulafte........75mg,0.96,auto_candidate
Each 2 ml contains: Adrenaline........0.001%w/v Lignocaine HCl.........2%w/v,Each 2 Ml Contains: Adrenaline........0.001%w / V Lignocaine Hcl.........2%w / V,8,Each 2 ml contains: Adrenaline........0.001%w/v Lignocaine HCl.........2%w/v,0.96,auto_candidate
Silver Sulphadiazine ……. 0.1% w/w,Silver Sulphadiazine ……. 0.1% W / W,8,Silver Sulphadiazine ……. 0.1% w/w,0.96,auto_candidate
Rivastigmine 18mg and releases rivastigmine at the rate of 9.5mg/24hours.,Rivastigmine 18mg and Releases Rivastigmine At The Rate of 9.5mg / 24hours.,8,Rivastigmine (as Tartrate) + Rivastigmine hydrogen tartrate as Rivastigmine + Cobra,0.91,review_candidate
(Serogroup A) Polysaccharide (Monovalent Conjugate),(serogroup A) Polysaccharide (monovalent Conjugate),7,(Serogroup A) Polysaccharide (Monovalent Conjugate),0.99,auto_candidate
